BMC Infectious Diseases
BMC Medical Ethics
BMC Medical Imaging
BMC Medicine
BMC Public Health
BMC Public Health
BMC Public Health
BMC Public Health
BMC Public Health
BMC Public Health
BMC Public Health
BMC Public Health
Cost Effectiveness and Resource Allocation
Genome Medicine
Malaria Journal
Malaria Journal
Malaria Journal
Malaria Journal
Orphanet Journal of Rare Diseases
Parasites and Vectors
Trials
Trials
Trials
Trials
BJOPHTHALMOL
BMJ
BMJ
BMJ
BMJ Open
BMJ Open
BMJ Open
BMJ Open
British Journal of Ophthalmology
British Journal of Opthalmology
British Medical Journal
Frontline Gastroenterology
Frontline Gastroenterology
Frontline Gastroenterology
Journal of Clinical Pathology
Journal of Epidemiology & Community Health 
Journal of Medical Ethics
Journal of Medical Genetics
Journal of Medical Genetics
"Journal of Neurology, Neurosurgery & Psychiatry"
"Journal of Neurology, Neurosurgery & Psychiatry "
"Journal of Neurology, Neurosurgery and Psychiatry"
Sexually Transmitted Infections
BMJ
Gut
Archives of Disease in Childhood
Archives of Disease in Childhood
BMJ
BMJ Open
BMJ OPEN
BMJ QUALITY AND SAFETY
Gut
Gut
Heart
Journal of Epidemiology & Community Health
Journal of Medical Ethics
Medical Humanities
Sexually Transmitted Infections                         
Thorax
Thorax
Sex Transm Infect.
Archives of Disease in Childhood
BMJ
BMJ Open
BMJ open
Journal of Epidemiology and Community Health
"Journal of Neurology, Neurosurgery and Psychiatry"
"Journal of Neurology, Neurosurgery and Psychiatry"
Postgraduate Medical Journal
Postgraduate Medical Journal
Veterinary Record
BMJ
BMJ
BMJ
BMJ
THORAX an international journal for Respiratory Medicine
European Journal of Health Law
BMJ open
"Journal of Neurology, Neurosurgery and Psychiatry"
Biophysical Journal
Jnl Biological Chemistry
Journal of Neuroscience
Heart and Circulatory Physiology
Journal of Biological Chemistry
Antimicobial Agents and Chemotherapy
Infection and Immunity
J Clin Microbiol
JOURNAL OF BACTERIOLOGY
Journal of Clinical Microbiology
mBio
International Psychogeriatrics
Parasitology
Medical History
Medical History
Medical History
Ageing & Society
British Journal for the History of Science
British Journal of the History of Science
Epidemiology and Infection
Epidemiology and Infection
Expert Reviews in Molecular Medicine
International Journal of Law in Context
Jnl of the International Neuropsychological Society
Medical History
Medical History
Parasitology
Parasitology
Parasitology
Parasitology
Parasitology
Psychological Medicine
Public Health Nutrition
Pyschological Medicine
Urban History
Visual Neuroscience
Journal of Neurophysiology
American Journal of Human Genetics
Stem Cell Reports
Journal of Clinical Endocrinology and Metabolism
Journal of Virol
Journal of the International AIDS Society
Genes & Development
Learning and Memory
Genes & Development
Genome Research
Genome Research
RNA
RNA
Journal of Cell Science
Biology Open
Biology Open
Biology Open
Development
Development
Development
Development
Development
Development
Development
Developmental Cell
Disease Models and Mechanisms
J Cell Sci.
Journal of Cell Science
Journal of Cell Science
Journal of Cell Science
Journal of Cell Science
Journal of Cell Science
Journal of Cell Science
International Reviews of Immunology
Learning and Memory
Journal of the International African Institute
Journal of the International African Institute
Journal of the International African Institute
Psychological Medicine
Psychological Medicine
Psychological Medicine
Public Health Nutrition
Cell Reports
American Journal for Clinical Nutrition
American Journal of Clinical Nutrition
Cell Press - Cell Reports
Cell Reports
Cell Reports
Cell Reports
Cell Reports
Cell Reports
"G3: Genes, Genomes, Genetics"
GENETICS
Genetics 
J Immunol 
Journal of Immunology
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
The Journal of Immunology
J Immunol
Cell Reports
Journal of Nutrition
PNAS
Neuroimage
Neuroimage
Academy of Nutrition and Dietetics
American Journal of Geriatric Psychiatry
American Journal of Human Genetics
American Journal of Human Genetics
American Journal of Human Genetics
American Journal of Human Genetics
American Journal of Preventive Medicine
American Journal of Preventive Medicine
Analytical Biochemistry
Animal Behaviour
Animal Behaviour
Applied Energy
Asian Journal of Psychiatry
Asian Journal of Psychiatry
Atherosclerosis
Atherosclerosis
BBA - Molecular Basis of Disease
Behavior Research and Therapy
Behavior Research and Therapy
Behaviour Research and Therapy
Behaviour Research and Therapy
Behavioural Brain Research
Biochemical and Biophysical Research Communications
Biochemical and Biophysical Research Communications
Biochemical Pharmacology
Biochimica et Bioohysica Acta - Gene Regulatory Mechanisms
Biochimica et Bioohysica Acta - Molecular Basis of Disease
Biochimica et Biophysica Acta - Molecular Basis of Disease
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research
Biochimie
Biological Psychiatry
Biological Psychiatry
Biological Psychiatry
Biological Psychiatry
BIOLOGICAL PSYCHOLOGY
Biomaterials
Biomaterials
Biosystems
Bone
Bone
Bone
Brain and Cognition
Brain and Cognition
Brain and Language
Brain and Language
Brain Research
Brain Research
Cancer Letters
Cell
Cell
Cell
Cell
Cell
Cell Calcium
Cell Host and Microbe
Cell Journal
Cell Metabolism
Cell Metabolism
Cell Reports
Cell Reports
Cell Stem Cell
Cell Stem Cell
Cellular Signalling
Cellular Signalling
Chemsitry & Biology
Clinical Neurology and Neurosurgery
Clinical Radiology
Cognition
Cognitive Development
Consciousness & Cognition
Consciousness and Cognition
Consciousness and Cognition
Cortex
Cortex
Cortex
Cortex
Cortex
Current Biology
Current Biology
CURRENT BIOLOGY
Current Biology
Current Biology
Current Biology
Current Biology
Current Biology
Current Biology
Current Biology
Current Biology
Current Opinion in Neurobiology 
Current Opinion Microbiology
Current Opinions in Neurobiology
DEVELOPMENT CELL
Developmental Biology
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cell
Developmental Cognitive Neuroscience 
Developmental Cognitive Neuroscience 
Diagnostic Microbiology and Infectious Disease
Elsevier
Elsevier
Elsevier
Elsevier
Elsevier
Elsevier
Elsevier
Endeavour
Endeavour
Epilepsy Research
European Journal of cell Biology
European Journal of Medical Genetics
European Journal of Medical Genetics
European Neuropsychopharmacology
Experimental Cell Research
Experimental Eye Research
Experimental Hematology
Experimental Neurology
Experimental Neurology
Experimental Parasitology
Experimental Parasitology
FEBS Letters
FEBS Letters
Febs Letters
FEBS Letters
FEBS Open Bio
Fertility and Sterility
Fertility and Sterility
Fertility and Sterility
Free Radical and Biology Medicine
Fungal Biology
Fungal Ecology
Gastroenterology
Gene
GENE
Gene
Gene Therapy
Health & Place
Health and Place
Immnunobiology
Immunity
Immunity
Immunology Letters
Infection Genetics and Evolution
Int Journal for Parasitology
International Health
International Journal for Parasitology
International journal of applied earth observation and geoinformation
International Journal of Biochemistry & Cell Biology
International Journal of Cardiology
International Journal of Cardiology
International Journal of Cardiology
International Journal of Parasitology
J Mol Biol
J Steroid Biochem Mol Biol
Journal of Affective Disorders
Journal of Affective Disorders
Journal of Affective Disorders
Journal of Affective Disorders 
JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY
JOURNAL OF ALLERGY & CLINICAL IMMUNOLOGY
Journal of Allergy and Clinical Immunology
Journal of allergy and clinical immunology
Journal of Allergy and Clinical Immunology
Journal of Anthropological Archaeology
Journal of Archaeological Science
Journal of Behavior Therapy and Experimental Psychiatry
Journal of Behavior Therapy and Experimental Psychiatry
Journal of Behaviour therapy and Experimental Psychiatry
Journal of Clinical Epidemiology
Journal of Clinical Virology
Journal of cycstic fibrosis
Journal of Hepatology
Journal of Hepatology
Journal of Historical Geography
Journal of Hospital Infections
Journal of Infection
Journal of Mechanisms of Ageing and Development
Journal of Molecular Biology
Journal of Molecular Biology
Journal of Molecular Biology
Journal of Neuroscience Methods
Journal of Neuroscience Methods
Journal of Nutrition Education and Behaviour
Journal of paediatric Urology 
Journal of Proteomics
Journal of Proteomics
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of Structural Biology
Journal of the American Academy of Child and Adolescent Psychiatry 
Journal of the American College of Cardiology
Journal of the Neurological Sciences
Journal of Transport Geography
Journal of Virological Methods
Journal of Virology
Journal of Virology
Lancet
Lancet Global Health
Learning and Individual Differences
Matrix Biology
Matrix Biology
Matrix Biology
Maturitas
Mechanisms of Ageing and Development 
Mechanisms of Ageing and Development 
Microbes and Infection
Microbes Infect
Mol Bio
Molecluar & Cellular Endocrinology
Molecular & Biochemical Parasitology
Molecular & Biochemical Parasitology
Molecular and Cellular Endocrinology
Molecular and Cellular Endocrinology
Molecular and Cellular Endocrinology
MOLECULAR BIOLOGY
Molecular Cell
Molecular Cell
Molecular Cell
Molecular Cell
Molecular Genetics and Metabolism
Molecular Immunology
Molecular Immunology
Molecular Immunology
Molecular Phylogenetics and Evolution
N Biotechnol.
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Aging
Neurobiology of Disease
Neurobiology of Learning and Memory
Neurochemistry International
Neurochemistry International
Neuroimage
NeuroImage
NeuroImage
NeuroImage
Neuroimage
Neuroimage
Neuroimage
Neuroimage
Neuroimage
Neuroimage
NeuroImage
Neuroimage
NeuroImage
NeuroImage
NeuroImage
NeuroImage
NeuroImage
Neuroimage
NeuroImage
Neuroimage
Neuroimage
Neuroimage
NeuroImage
NeuroImage
NeuroImage
NeuroImage
Neuroimage
Neuroimage: Clinical
Neuroimage: Clinical
Neuroimage: clinical
NeuroImage: Clinical
NeuroImage: Clinical 
Neurolmage
Neurolmage
Neuromuscular Disorders
Neuron
Neuron
Neuron
Neuron
Neuron
Neuron
Neuron
Neuropharmacology
Neuropharmacology
Neuropharmacology 
Neurophysiologia
Neuropsychologia
Neuropsychologia
Neuropsychologia
Neuropsychologia
Neuropsychologia
Neuropsychologia
Neuropsychologia
Neuroscience
Neuroscience
Neuroscience 
Neuroscience and Behavioural Reviews
Neuroscience Letters
Neuroscience Letters
Neuroscience Letters
Nitric Oxide
Ophthalmology
Osteoarthritis and Cartilage
Pain
Pain
Pain
Pain
Parkinsonism and Related Disorders
Parsitology
Personality and Individual Differences
Preventive Medicine
Preventive Medicine
Preventive Medicine
Preventive Medicine
Preventive Medicine
Preventive Medicine
Protein Expr Purif.
Protist
Public Health
Pulmonary Pharmacology & Therapeutics
RESEARCH IN VETERINARY SCIENCE
Schizophrenia Research
Schizophrenia Research
Seizure
Seminars in Oncology
Social Science & Medicine
Social Science and Medicine
Social Science and Medicine
Social Science and Medicine
Social Science and Medicine
Social Science and Medicine
Stem Cell Research
Structure
Structure
Structure
Structure
Structure
Structure
Studies in History and Philosophy of Science Part C
Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences
Tetrahedron Letters
The Americal Journal of Human Genetics
The American Journal of Human Genetics
The American Journal of Human Genetics
The American Journal of Human Genetics
The International Journal of Biochemistry & Cell Biology
The Journal of Steroid Biochemistry & Molecular Biology
The Lancet
The Lancet
The Lancet
The Lancet Neurology
The Lancet Neurology
The Vet. Journal
Ticks and Tick-borne Diseases
Transactions of the Royal Society of Tropical Medicine and Hygiene
Trends in Cognitive Science
Trends in Genetics
Trends in Genetics
Trends in Microbiology
Trends in Molecular Medicine
Trends in Neuroscience
Trends in Neurosciences
Trends in Neurosciences
Trends in Parasitology
Trends in Parasitology
Trends in Parasitology
Trends in Parasitology
Tuberculosis
Tuberculosis
Vaccine
Vaccine
Vaccine
Vaccine
Vascular Pharmacology
Veterinary Microbiology
Veterinary Parasitology
Veterinary Parasitology
Virology
Virus Research
Vision Research
Vision Research
American Journal of Preventive Medicine 
Cell Metabolism
FEBS Letters
Journal of Molecular Biology
Lancet 
Lancet Infect Dis
Math Biosci
Social Science & Medicine 
Neuron
Neuron
STRUCTURE
Curr Biol.
FEBS Open Bio
Vaccine
Cell Host & Microbe
Endocrinology
Endocrinology
Journal of Clinical Endocrinology and Metabolism
Journal of Clinical Endocrinology and Metabolism
Journal of Clinical Endocrinology and Metabolism
Molecular Endocrinology
European Respiratory Journal
European Journal of Endocrinology
FASEB Journal
FASEB Journal
FASEB Journal
FASEB Journal
Journal of Leukocyte Biology
The FASEB Journal
FASEB Journal
FASEB Journal
The FASEB Journal
The FASEB Journal
The FASEB Journal
FASEB Journal
Haematologica
Haematologica/The Haematology Journal
Frontiers in Auditory Cognitive Neuroscience
Frontiers in Behavioral Neuroscience
Frontiers in Behavioral Neuroscience
Frontiers in Brain Imaging Methods
Frontiers in Cellular Neuroscience
Frontiers in Cellular Neuroscience
Frontiers in Cognition
Frontiers in Cognitive Science
Frontiers in Decision Neuroscience
Frontiers in Developmental Psychology
Frontiers in Electrophysiology
Frontiers in Endocrinology
Frontiers in Genetics
Frontiers in Human Neuroscience
Frontiers in Human Neuroscience
Frontiers in Human Neuroscience
Frontiers in Human Neuroscience
Frontiers in Immunological Memory
Frontiers in Inflammation
Frontiers in Invertebrate Physiology
Frontiers in Molecular Neuroscience
Frontiers in Schizophrenia
Frontiers in Systems Neuroscience
Frontiers in Integrative Neuroscience
Frontiers in Perception Science
Frontiers in Brain Imaging Methods
Frontiers in Consciousness Research
Frontiers in Immunology
Frontiers in Neural Circuits
Frontiers in Neurorobotics
Frontiers in T Cell Biology
Frontiers in Human Neuroscience
Future Neurology
Future Virology
Future Virology
Future Microbiology
Future Medicinal Chemistry
Future Medicinal Chemistry
International Journal of Rheumatology
JOURNAL OF ALLERGY
Journal of Parasitology Research
OXIDATIVE MEDICINE & CELLULAR LONGEVITY
Methods in Molecular Biology
Oncotarget
Oncotarget
Molecular Membrane Biology
Expert Reviews in Anti-infective Chemotherapy
Nanotechnology
Nanotechnology
Journal of the International AIDS Society
Journal of the International AIDS Society
IJTLD
International Journal of Tuberculosis  and Lung Disease
Acta Crystallographica Section D: Biological Crystallography
"Acta Crystallographica, Section D"
Acta Crystallography D
Acta D
ACTA F
J Synchrotron Radiat.
Journal of Applied Crystallography
"Acta Crystallographica Section D,  Biological Crystallography "
Acta Crystallographica Section F: Structural Biology and Crystallization Communications
Acta Crystallographica Section F: Structural Biology and Crystallization Communications
"Physics in Biology and Medicine
"
Journal of Alzheimer Disease
Theranostics
J Med Internet Research
American Journal of Medical Genetics
Cellular Microbiology
Genetic Epidemiology
The Journal of Pathology
Cellular Microbiology
Cellular Microbiology
European Journal of Immunology
Genetic Epidemiology
Journal of Depression & Anxiety
Journal of Depression & Anxiety
Journal of Pathology
Journal of Physiology
Clinical and Experimental Allergy
EMBO Molecular Medicine
Biopolymers
Development Science
Journal of Medical Virology
Molecular Microbiology
"Population, Space and Place"
Traffic
Tropical Medicine and International Health
Tropical Medicine and International Health
The Journal of Physiology
Heptology
EMBO Molecular Medicine
Bulletin of the History of Medicine
National Academy of Sciences
Journal of Visualized Experiments
Journal of Visualized Experiments
Journal of Neurology & Translational Neuroscience
Nephron Physiology
Neurodegenerative Diseases
Neuroepidemiology
Neuropsychobiology
Respiration
Autophagy
Cell Adhesion and Migration
Cell Cycle
Cell Cycle
Cell Cycle
Cell Cycle
Channels
Epigenetics
Epigenetics
Epigentics
Epigentics
RNA Biology
RNA biology
RNA Biology
Cell Cycle
Cell Cycle
Neurology
""
Antioxidants & Redox Signaling
Antioxidants and Redox Signaling
Tissue Engineering: part A
Antioxidants and Redox Signaling
Stem Cells and Development
International journal of molecular sciences
JERPH
Sensors
Journal of Cognitive Neuroscience
The Journal of Cognitive Neuroscience
Journal of Visualized Experiements
Journal of Visualized Experiments
Journal of Visulaized expermiments
Journal of Visualized Experiments
Journal of Visualized Experiments 
PNAS
PNAS (Proceedings of the National Academy of Sciences of the United States of America
Proceddings of the National Academy of Sciences of USA
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences 
Proceedings of the National Academy of Sciences of the United States of America
Proceedings of the National Academy of Sciences 
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences of the United States of America
Proceedings of the National Academy of Sciences of the United States of America 
PNAS
PNAS
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Proceedings of the National Academy of Sciences
Biosocieties
British Journal of Cancer
British Journal of Cancer
Cell Death & Disease
Cell Death & Disease
Cell Death & Disease
Cell Death and Differentiation
Cell Death and Disease 
Frontiers
Gene Therapy
Genetics in Medicine
Journal of Cerebral Blood Flow and Metabolism
Journal of cerebral blood flow and metabolism
Journal of Investigative Dermatology
Mucosal Immunology
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature communications
Scientific Reports
Scientific Reports
Cell Death and Disease 
EMBO Reports
European Journal of Human Genetics
Leukemia
Nature Communications
Nature Neuroscience
Cell Death Differentiation
EMBO
EMBO Journal
EMBO Journal
EMBO Journal
EMBO Journal
EMBO Journal
EMBO Journal
EMBO reports
EMBO Reports
European Journal of Human Genetics
Genetics in Medicine
International Journal of Obesity
Journal of Investigative Dermatology
Journal of Investigative Dermatology
Journal of Investigative Dermatology
Kidney International
Kidney International
Leukemia
Mucosal Immunology
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Communications
Nature Scientific Reports
Neuropsychopharmacology
Neuropsychopharmacology
Neuropsychopharmacology
Neuropsychopharmacology
Neuropsychopharmacology
Oncogene
Oncogene
Oncogene
Sci Rep
Scientific Reports
Scientific Reports-11-00861B
The EMBO journal
The EMBO Journal
The Journal of investigative dermatology
Translational Psychiatry
Translational Psychiatry
Mucosal Immunology
Mucosal Immunology
NATURE COMMUNICATIONS
EMBO Journal
Journal of the International AIDS Society
Optics Express
Alcohol and Alcoholism
American Jnl Epidemiology
American Journal of Epidemiology
American Journal of Epidemiology
Brain
Brain
Brain
Brain
Brain
Brain
Brain
Brain
Brain
Briefings in Bioinformatics
British Medical Bulletin
Cerebral Cortex
Cerebral Cortex
Cerebral Cortex
Cerebral Cortex
Clinical Infectious Diseases
Clinical Infectious Diseases
Clinical Infectious Diseases Online
European Heart Journal Online
Health Policy Planning 
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Int J Epidemiol
International Joural of Epidemiology
International Journal of Epidemiology
International Journal of Epidemiology
Journal of Antimicrobial Chemotherapy
Journal of Infectious Diseases
Journal of Infectious Diseases
Journal of Infectious Diseases
Journal of the National Cancer Institute
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Public Health Ethics
Rheumatology
Rheumatology
Schizophrenia Bulletin
Social Cognitive and Affective Neuroscience
Social Cognitive and Affective Neuroscience
Brain
Cardiovascular Research
Clinical Infectious Diseases
Clinicla Infectious Disease
Glycobiology
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Inyernational Journal of Epidemiology
Journal of Antimicrobial Chemotherapy
Journal of Gerontology Series A: Medical Sciences
Journal of Public Health
Molecular Biology and Evolution
Nicotine and Tobaco Research
Social History of Medicine
Social History of Medicine
Human Molecular Genetics
Bioinformatics Online
Cerebral Cortex print
Human Mol Genetics Online
Journal of Infectious Diseases
Age and Ageing
American Journal of Epidemiology
Biinformatics
Bioinformatics
Bioinformatics
Bioinformatics
Bioinformatics
Bioinformatics Online
Bioinformatics Online
Brain
Brain
Brain
Brain
Brain Online
Brain Online
Brain Online
Brain Online
Briefings in Functional Genomics
Briefings in Functional Genomics
British Medical Journal
Cerebral Cortex
Cerebral Cortex
Cerebral Cortex
Cerebral Cortex Online
Cerebral Cortex Online
Cerebral Cortex Online
Clinical Infectious Diseases
Database
European Journal of Public Health
Glycobiology
Health Promotion International
History Workshop Journal
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Human molecular genetics
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics
Human Molecular Genetics Online
Human Reproduction
International Immunology
International Journal of Epidemiology
International Journal of Epidemiology
International Journal of Epidemiology
Journal of Infectious Diseases
"Journal of Infectious Diseases

"
Journal of the National Cancer Institute
Medical Law Review
Mol Biol and Evolution
Nephrology Dialysis and Transplantation
Nephrology Dialysis Transplantation
Nucleic Acid Research
Nucleic Acid Research
Nucleic Acid Research
Nucleic Acids Research
Nucleic Acids Research
NUCLEIC ACIDS RESEARCH
NUCLEIC ACIDS RESEARCH
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research
Nucleic Acids Research 
Nucleic Acids Research 
Oxford Journals
Oxford University Press
"Protein Engineering, Design and Selection ("
QJM: An International Journal of Medicine
QJM: An International Journal of Medicine
Schizophrenia Bulletin
Social Cognitive and Affective Neuroscience
Social History of Medicine
Social History of Medicine
The Journal of Infectious Diseases
Clinical Infectious Diseases 
J Infect Dis
Molecular Biology and Evolution
Cardiovascular Research
Human Molecular Genetics
Human Molecular Genetics
Schizophrenia Bulletin 
Cardiovascular Research
"Journal of Infectious Diseases

"
"Nucleic Acids Research
"
Medical Law Review
BioSocieties
Environment and Planning A
PLOS Computational Biology
PLoS Genetics
Plos Genetics
PLOS NTD
PLoS ONE
PloS One
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS ONE
PLoS One
PLoS ONE
PLOS One
Plos One
PLOS Pathogens
PLOS Pathogens
PLOS Genetics
PLOS ONE
PLoS ONE
PLoS One
PLoS Genetics
National Academy of Sciences
PNAS
PNAS
PNAS USA
Proceedings of the National Academy of Sciences
